region_league_id,region,league_name,url
ENGLAND_LEAGUE_TWO___ROUND_20,ENGLAND,LEAGUE TWO - ROUND 20,https://www.flashscore.com/football/
MALAWI_SUPER_LEAGUE,MALAWI,SUPER LEAGUE,https://www.flashscore.com/football/
OMAN_PROFESSIONAL_LEAGUE___ROUND_7,OMAN,PROFESSIONAL LEAGUE - ROUND 7,https://www.flashscore.com/football/
DR_CONGO_LIGUE_1___ROUND_10,DR CONGO,LIGUE 1 - ROUND 10,https://www.flashscore.com/football/
ISRAEL_LIGAT_HA'AL___ROUND_14,ISRAEL,LIGAT HA'AL - ROUND 14,https://www.flashscore.com/football/
HUNGARY_NB_I.___ROUND_17,HUNGARY,NB I. - ROUND 17,https://www.flashscore.com/football/
TUNISIA_LIGUE_2___ROUND_13,TUNISIA,LIGUE 2 - ROUND 13,https://www.flashscore.com/football/
ITALY_SERIE_C___GROUP_A___ROUND_18,ITALY,SERIE C - GROUP A - ROUND 18,https://www.flashscore.com/football/
ITALY_SERIE_C___GROUP_C___ROUND_18,ITALY,SERIE C - GROUP C - ROUND 18,https://www.flashscore.com/football/
NETHERLANDS_TWEEDE_DIVISIE___ROUND_17,NETHERLANDS,TWEEDE DIVISIE - ROUND 17,https://www.flashscore.com/football/
CROATIA_HNL___ROUND_17,CROATIA,HNL - ROUND 17,https://www.flashscore.com/football/
CZECH_REPUBLIC_CHANCE_LIGA___ROUND_19,CZECH REPUBLIC,CHANCE LIGA - ROUND 19,https://www.flashscore.com/football/
JORDAN_SHIELD_CUP___ROUND_8,JORDAN,SHIELD CUP - ROUND 8,https://www.flashscore.com/football/
SAN_MARINO_CAMPIONATO_SAMMARINESE___ROUND_13,SAN MARINO,CAMPIONATO SAMMARINESE - ROUND 13,https://www.flashscore.com/football/
WALES_CYMRU_NORTH___ROUND_15,WALES,CYMRU NORTH - ROUND 15,https://www.flashscore.com/football/
SLOVAKIA_NIKE_LIGA___ROUND_18,SLOVAKIA,NIKE LIGA - ROUND 18,https://www.flashscore.com/football/
WALES_CYMRU_SOUTH___ROUND_16,WALES,CYMRU SOUTH - ROUND 16,https://www.flashscore.com/football/
ENGLAND_PREMIER_LEAGUE___ROUND_16,ENGLAND,PREMIER LEAGUE - ROUND 16,https://www.flashscore.com/football/
BENIN_LIGUE_1___ROUND_12,BENIN,LIGUE 1 - ROUND 12,https://www.flashscore.com/football/
BOSNIA_AND_HERZEGOVINA_WWIN_LIGA_BIH___ROUND_19,BOSNIA AND HERZEGOVINA,WWIN LIGA BIH - ROUND 19,https://www.flashscore.com/football/
CYPRUS_CYPRUS_LEAGUE___ROUND_14,CYPRUS,CYPRUS LEAGUE - ROUND 14,https://www.flashscore.com/football/
GREECE_SUPER_LEAGUE___ROUND_14,GREECE,SUPER LEAGUE - ROUND 14,https://www.flashscore.com/football/
MALTA_PREMIER_LEAGUE___FIRST_STAGE___TOP_6___ROUND_13,MALTA,PREMIER LEAGUE - FIRST STAGE - TOP 6 - ROUND 13,https://www.flashscore.com/football/
NIGERIA_NPFL___ROUND_17,NIGERIA,NPFL - ROUND 17,https://www.flashscore.com/football/
NORTHERN_IRELAND_NIFL_CHAMPIONSHIP___ROUND_20,NORTHERN IRELAND,NIFL CHAMPIONSHIP - ROUND 20,https://www.flashscore.com/football/
PORTUGAL_LIGA_3___ROUND_13,PORTUGAL,LIGA 3 - ROUND 13,https://www.flashscore.com/football/
SCOTLAND_PREMIERSHIP___ROUND_17,SCOTLAND,PREMIERSHIP - ROUND 17,https://www.flashscore.com/football/
SCOTLAND_LEAGUE_ONE___ROUND_17,SCOTLAND,LEAGUE ONE - ROUND 17,https://www.flashscore.com/football/
SCOTLAND_LEAGUE_TWO___ROUND_16,SCOTLAND,LEAGUE TWO - ROUND 16,https://www.flashscore.com/football/
TOGO_CHAMPIONNAT_NATIONAL___ROUND_6,TOGO,CHAMPIONNAT NATIONAL - ROUND 6,https://www.flashscore.com/football/
NETHERLANDS_EREDIVISIE___ROUND_16,NETHERLANDS,EREDIVISIE - ROUND 16,https://www.flashscore.com/football/
ALBANIA_ABISSNET_SUPERIORE___ROUND_16,ALBANIA,ABISSNET SUPERIORE - ROUND 16,https://www.flashscore.com/football/
IVORY_COAST_LIGUE_1___ROUND_15,IVORY COAST,LIGUE 1 - ROUND 15,https://www.flashscore.com/football/
PORTUGAL_LIGA_PORTUGAL___ROUND_14,PORTUGAL,LIGA PORTUGAL - ROUND 14,https://www.flashscore.com/football/
AUSTRIA_BUNDESLIGA___ROUND_17,AUSTRIA,BUNDESLIGA - ROUND 17,https://www.flashscore.com/football/
GUINEA_LIGUE_1___ROUND_10,GUINEA,LIGUE 1 - ROUND 10,https://www.flashscore.com/football/
SIERRA_LEONE_PREMIER_LEAGUE___ROUND_6,SIERRA LEONE,PREMIER LEAGUE - ROUND 6,https://www.flashscore.com/football/
SENEGAL_LIGUE_1___ROUND_6,SENEGAL,LIGUE 1 - ROUND 6,https://www.flashscore.com/football/
SWITZERLAND_SUPER_LEAGUE___ROUND_17,SWITZERLAND,SUPER LEAGUE - ROUND 17,https://www.flashscore.com/football/
USA_USL_SUPER_LEAGUE_WOMEN,USA,USL SUPER LEAGUE WOMEN,https://www.flashscore.com/football/
GRENADA_PREMIER_DIVISION,GRENADA,PREMIER DIVISION,https://www.flashscore.com/football/
SCOTLAND_PREMIERSHIP___ROUND_20,SCOTLAND,PREMIERSHIP - ROUND 20,https://www.flashscore.com/football/
ECUADOR_LIGA_PRO___PLACEMENT_GROUP___ROUND_9,ECUADOR,LIGA PRO - PLACEMENT GROUP - ROUND 9,https://www.flashscore.com/football/
BOLIVIA_DIVISION_PROFESIONAL___ROUND_30,BOLIVIA,DIVISION PROFESIONAL - ROUND 30,https://www.flashscore.com/football/
ARUBA_DIVISION_DI_HONOR___ROUND_6,ARUBA,DIVISION DI HONOR - ROUND 6,https://www.flashscore.com/football/
ZAMBIA_SUPER_LEAGUE___ROUND_15,ZAMBIA,SUPER LEAGUE - ROUND 15,https://www.flashscore.com/football/
HONDURAS_LIGA_NACIONAL___APERTURA___TRIANGULARES___ROUND_2,HONDURAS,LIGA NACIONAL - APERTURA - TRIANGULARES - ROUND 2,
INDONESIA_SUPER_LEAGUE___ROUND_12,INDONESIA,SUPER LEAGUE - ROUND 12,
TAIWAN_PREMIER_LEAGUE___ROUND_11,TAIWAN,PREMIER LEAGUE - ROUND 11,
ANDORRA_PRIMERA_DIVISIÓ___ROUND_12,ANDORRA,PRIMERA DIVISIÓ - ROUND 12,
TURKEY_SUPER_LIG_WOMEN___ROUND_12,TURKEY,SUPER LIG WOMEN - ROUND 12,
CAMBODIA_CPL___ROUND_10,CAMBODIA,CPL - ROUND 10,
DR_CONGO_LIGUE_1___ROUND_8,DR CONGO,LIGUE 1 - ROUND 8,
EUROPE_PREMIER_LEAGUE_INTERNATIONAL_CUP,EUROPE,PREMIER LEAGUE INTERNATIONAL CUP,
IRAN_PERSIAN_GULF_PRO_LEAGUE___ROUND_14,IRAN,PERSIAN GULF PRO LEAGUE - ROUND 14,
DR_CONGO_LIGUE_1___ROUND_15,DR CONGO,LIGUE 1 - ROUND 15,
DR_CONGO_LIGUE_1___ROUND_14,DR CONGO,LIGUE 1 - ROUND 14,
MONTENEGRO_PRVA_CRNOGORSKA_LIGA___ROUND_13,MONTENEGRO,PRVA CRNOGORSKA LIGA - ROUND 13,
MOZAMBIQUE_MOCAMBOLA___ROUND_24,MOZAMBIQUE,MOCAMBOLA - ROUND 24,
SCOTLAND_SWPL_1_WOMEN___ROUND_13,SCOTLAND,SWPL 1 WOMEN - ROUND 13,
UGANDA_BIG_LEAGUE,UGANDA,BIG LEAGUE,
POLAND_EKSTRAKLASA___ROUND_4,POLAND,EKSTRAKLASA - ROUND 4,
DR_CONGO_LIGUE_1___ROUND_12,DR CONGO,LIGUE 1 - ROUND 12,
DR_CONGO_LIGUE_1___ROUND_11,DR CONGO,LIGUE 1 - ROUND 11,
CHAD_PREMIERE_DIVISION___LPFN___ROUND_7,CHAD,PREMIERE DIVISION - LPFN - ROUND 7,
POLAND_EKSTRAKLASA___ROUND_3,POLAND,EKSTRAKLASA - ROUND 3,
ECUADOR_LIGA_PRO___CHAMPIONSHIP_GROUP___ROUND_9,ECUADOR,LIGA PRO - CHAMPIONSHIP GROUP - ROUND 9,
JAMAICA_PREMIER_LEAGUE___ROUND_12,JAMAICA,PREMIER LEAGUE - ROUND 12,
UKRAINE_PERSHA_LIGA___ROUND_13,UKRAINE,PERSHA LIGA - ROUND 13,
KENYA_PREMIER_LEAGUE___ROUND_14,KENYA,PREMIER LEAGUE - ROUND 14,
INDIA_SANTOSH_TROPHY,INDIA,SANTOSH TROPHY,
ICELAND_REYKJAVIK_CUP___ROUND_1,ICELAND,REYKJAVIK CUP - ROUND 1,
BANGLADESH_FEDERATION_CUP,BANGLADESH,FEDERATION CUP,
ITALY_PRIMAVERA_1___ROUND_16,ITALY,PRIMAVERA 1 - ROUND 16,
UGANDA_PREMIER_LEAGUE___ROUND_11,UGANDA,PREMIER LEAGUE - ROUND 11,
WORLD_FRIENDLY_INTERNATIONAL,WORLD,FRIENDLY INTERNATIONAL,
GAMBIA_GFA_LEAGUE___ROUND_1,GAMBIA,GFA LEAGUE - ROUND 1,
SIERRA_LEONE_PREMIER_LEAGUE___ROUND_7,SIERRA LEONE,PREMIER LEAGUE - ROUND 7,
BELGIUM_CHALLENGER_PRO_LEAGUE___ROUND_18,BELGIUM,CHALLENGER PRO LEAGUE - ROUND 18,
SWITZERLAND_SUPER_LEAGUE___ROUND_18,SWITZERLAND,SUPER LEAGUE - ROUND 18,
WALES_CYMRU_NORTH___ROUND_16,WALES,CYMRU NORTH - ROUND 16,
WALES_CYMRU_PREMIER___ROUND_17,WALES,CYMRU PREMIER - ROUND 17,
AUSTRALIA_A_LEAGUE_WOMEN___ROUND_4,AUSTRALIA,A-LEAGUE WOMEN - ROUND 4,
ANDORRA_PRIMERA_DIVISIÓ___ROUND_4,ANDORRA,PRIMERA DIVISIÓ - ROUND 4,
ASIA_ASEAN_CLUB_CHAMPIONSHIP,ASIA,ASEAN CLUB CHAMPIONSHIP,
DR_CONGO_LIGUE_1___ROUND_13,DR CONGO,LIGUE 1 - ROUND 13,
TURKEY_TURKISH_CUP___ROUND_1,TURKEY,TURKISH CUP - ROUND 1,
GREECE_SUPER_LEAGUE_2___ROUND_9,GREECE,SUPER LEAGUE 2 - ROUND 9,
KUWAIT_PREMIER_LEAGUE___ROUND_9,KUWAIT,PREMIER LEAGUE - ROUND 9,
